YEAR,MO,DY,HR,ALLSKY_SFC_SW_DWN
2010,1,1,0,0
2010,1,1,1,0
2010,1,1,2,0
2010,1,1,3,0
2010,1,1,4,0
2010,1,1,5,0
2010,1,1,6,7.15
2010,1,1,7,108.5
2010,1,1,8,302.98
2010,1,1,9,505.73
2010,1,1,10,631.87
2010,1,1,11,668.92
2010,1,1,12,657.14
2010,1,1,13,650.98
2010,1,1,14,500.31
2010,1,1,15,356.12
2010,1,1,16,181.52
2010,1,1,17,31.21
2010,1,1,18,0
2010,1,1,19,0
2010,1,1,20,0
2010,1,1,21,0
2010,1,1,22,0
2010,1,1,23,0
2010,1,2,0,0
2010,1,2,1,0
2010,1,2,2,0
2010,1,2,3,0
2010,1,2,4,0
2010,1,2,5,0
2010,1,2,6,6.94
2010,1,2,7,108.45
2010,1,2,8,316.56
2010,1,2,9,511.62
2010,1,2,10,654.9
2010,1,2,11,736.78
2010,1,2,12,762.62
2010,1,2,13,692.8
2010,1,2,14,575.29
2010,1,2,15,405.12
2010,1,2,16,211.56
2010,1,2,17,33.66
2010,1,2,18,0
2010,1,2,19,0
2010,1,2,20,0
2010,1,2,21,0
2010,1,2,22,0
2010,1,2,23,0
2010,1,3,0,0
2010,1,3,1,0
2010,1,3,2,0
2010,1,3,3,0
2010,1,3,4,0
2010,1,3,5,0
2010,1,3,6,6.95
2010,1,3,7,112.8
2010,1,3,8,305.19
2010,1,3,9,499.73
2010,1,3,10,646.72
2010,1,3,11,729.3
2010,1,3,12,751.83
2010,1,3,13,648.12
2010,1,3,14,505.24
2010,1,3,15,375.1
2010,1,3,16,187.61
2010,1,3,17,30.62
2010,1,3,18,0
2010,1,3,19,0
2010,1,3,20,0
2010,1,3,21,0
2010,1,3,22,0
2010,1,3,23,0
2010,1,4,0,0
2010,1,4,1,0
2010,1,4,2,0
2010,1,4,3,0
2010,1,4,4,0
2010,1,4,5,0
2010,1,4,6,7.02
2010,1,4,7,107.44
2010,1,4,8,309.49
2010,1,4,9,504.17
2010,1,4,10,651.09
2010,1,4,11,728.06
2010,1,4,12,746.56
2010,1,4,13,670.18
2010,1,4,14,561.58
2010,1,4,15,406.19
2010,1,4,16,210.7
2010,1,4,17,36.12
2010,1,4,18,0
2010,1,4,19,0
2010,1,4,20,0
2010,1,4,21,0
2010,1,4,22,0
2010,1,4,23,0
2010,1,5,0,0
2010,1,5,1,0
2010,1,5,2,0
2010,1,5,3,0
2010,1,5,4,0
2010,1,5,5,0
2010,1,5,6,7.05
2010,1,5,7,99.62
2010,1,5,8,285.79
2010,1,5,9,469.86
2010,1,5,10,604.7
2010,1,5,11,641.29
2010,1,5,12,730.41
2010,1,5,13,663.12
2010,1,5,14,456.58
2010,1,5,15,415.5
2010,1,5,16,211.76
2010,1,5,17,33.4
2010,1,5,18,0
2010,1,5,19,0
2010,1,5,20,0
2010,1,5,21,0
2010,1,5,22,0
2010,1,5,23,0
2010,1,6,0,0
2010,1,6,1,0
2010,1,6,2,0
2010,1,6,3,0
2010,1,6,4,0
2010,1,6,5,0
2010,1,6,6,6.91
2010,1,6,7,107.06
2010,1,6,8,311.88
2010,1,6,9,505.04
2010,1,6,10,652.02
2010,1,6,11,734.77
2010,1,6,12,705.9
2010,1,6,13,623.51
2010,1,6,14,451.65
2010,1,6,15,319.29
2010,1,6,16,146.1
2010,1,6,17,32.91
2010,1,6,18,0
2010,1,6,19,0
2010,1,6,20,0
2010,1,6,21,0
2010,1,6,22,0
2010,1,6,23,0
2010,1,7,0,0
2010,1,7,1,0
2010,1,7,2,0
2010,1,7,3,0
2010,1,7,4,0
2010,1,7,5,0
2010,1,7,6,5.74
2010,1,7,7,57.55
2010,1,7,8,134.6
2010,1,7,9,231.04
2010,1,7,10,338.5
2010,1,7,11,426.16
2010,1,7,12,441.52
2010,1,7,13,378.72
2010,1,7,14,333.86
2010,1,7,15,220.89
2010,1,7,16,120.23
2010,1,7,17,28.26
2010,1,7,18,0
2010,1,7,19,0
2010,1,7,20,0
2010,1,7,21,0
2010,1,7,22,0
2010,1,7,23,0
2010,1,8,0,0
2010,1,8,1,0
2010,1,8,2,0
2010,1,8,3,0
2010,1,8,4,0
2010,1,8,5,0
2010,1,8,6,0
2010,1,8,7,35.89
2010,1,8,8,63.61
2010,1,8,9,106.21
2010,1,8,10,149.88
2010,1,8,11,206.27
2010,1,8,12,181.68
2010,1,8,13,167.05
2010,1,8,14,199.98
2010,1,8,15,121.49
2010,1,8,16,112.69
2010,1,8,17,28.56
