YEAR,MO,DY,HR,ALLSKY_SFC_SW_DWN
2010,8,8,0,0
2010,8,8,1,0
2010,8,8,2,0
2010,8,8,3,0
2010,8,8,4,0
2010,8,8,5,0
2010,8,8,6,37.53
2010,8,8,7,160.57
2010,8,8,8,329.05
2010,8,8,9,500.02
2010,8,8,10,664.59
2010,8,8,11,638
2010,8,8,12,730.79
2010,8,8,13,693.35
2010,8,8,14,504.59
2010,8,8,15,485.38
2010,8,8,16,284.79
2010,8,8,17,110.15
2010,8,8,18,14.71
2010,8,8,19,0
2010,8,8,20,0
2010,8,8,21,0
2010,8,8,22,0
2010,8,8,23,0
2010,8,9,0,0
2010,8,9,1,0
2010,8,9,2,0
2010,8,9,3,0
2010,8,9,4,0
2010,8,9,5,0
2010,8,9,6,36.8
2010,8,9,7,238.45
2010,8,9,8,445.72
2010,8,9,9,583.02
2010,8,9,10,780.29
2010,8,9,11,705.09
2010,8,9,12,661.7
2010,8,9,13,619.06
2010,8,9,14,603.59
2010,8,9,15,486.49
2010,8,9,16,367.09
2010,8,9,17,144.19
2010,8,9,18,20.34
2010,8,9,19,0
2010,8,9,20,0
2010,8,9,21,0
2010,8,9,22,0
2010,8,9,23,0
2010,8,10,0,0
2010,8,10,1,0
2010,8,10,2,0
2010,8,10,3,0
2010,8,10,4,0
2010,8,10,5,0
2010,8,10,6,42.76
2010,8,10,7,244.12
2010,8,10,8,425.84
2010,8,10,9,580.48
2010,8,10,10,612.72
2010,8,10,11,673.34
2010,8,10,12,731.75
2010,8,10,13,701.02
2010,8,10,14,600.7
2010,8,10,15,491.46
2010,8,10,16,284.84
2010,8,10,17,119.7
2010,8,10,18,7.59
2010,8,10,19,0
2010,8,10,20,0
2010,8,10,21,0
2010,8,10,22,0
2010,8,10,23,0
2010,8,11,0,0
2010,8,11,1,0
2010,8,11,2,0
2010,8,11,3,0
2010,8,11,4,0
2010,8,11,5,0
2010,8,11,6,9.11
2010,8,11,7,103.66
2010,8,11,8,222.62
2010,8,11,9,448.26
2010,8,11,10,616.59
2010,8,11,11,528.81
2010,8,11,12,637.9
2010,8,11,13,587.44
2010,8,11,14,492.49
2010,8,11,15,223.42
2010,8,11,16,123.77
2010,8,11,17,55.62
2010,8,11,18,8.25
2010,8,11,19,0
2010,8,11,20,0
2010,8,11,21,0
2010,8,11,22,0
2010,8,11,23,0
2010,8,12,0,0
2010,8,12,1,0
2010,8,12,2,0
2010,8,12,3,0
2010,8,12,4,0
2010,8,12,5,0
2010,8,12,6,25.91
2010,8,12,7,167.42
2010,8,12,8,348.89
2010,8,12,9,477.98
2010,8,12,10,575.59
2010,8,12,11,666.69
2010,8,12,12,578.05
2010,8,12,13,627.74
2010,8,12,14,553.92
2010,8,12,15,382.3
2010,8,12,16,195.22
2010,8,12,17,56.22
2010,8,12,18,6.96
2010,8,12,19,0
2010,8,12,20,0
2010,8,12,21,0
2010,8,12,22,0
2010,8,12,23,0
2010,8,13,0,0
2010,8,13,1,0
2010,8,13,2,0
2010,8,13,3,0
2010,8,13,4,0
2010,8,13,5,0
2010,8,13,6,30.58
2010,8,13,7,135.31
2010,8,13,8,267.55
2010,8,13,9,396.53
2010,8,13,10,528.16
2010,8,13,11,524.05
2010,8,13,12,608.01
2010,8,13,13,561.59
2010,8,13,14,504.7
2010,8,13,15,330.75
2010,8,13,16,149.08
2010,8,13,17,39.64
2010,8,13,18,8.58
2010,8,13,19,0
2010,8,13,20,0
2010,8,13,21,0
2010,8,13,22,0
2010,8,13,23,0
2010,8,14,0,0
2010,8,14,1,0
2010,8,14,2,0
2010,8,14,3,0
2010,8,14,4,0
2010,8,14,5,0
2010,8,14,6,37.42
2010,8,14,7,152.53
2010,8,14,8,303.62
2010,8,14,9,488.08
2010,8,14,10,591.5
2010,8,14,11,556.92
2010,8,14,12,595.94
2010,8,14,13,614.17
2010,8,14,14,520.76
2010,8,14,15,357.16
2010,8,14,16,202.73
2010,8,14,17,53.31
2010,8,14,18,10.56
2010,8,14,19,0
2010,8,14,20,0
2010,8,14,21,0
2010,8,14,22,0
2010,8,14,23,0
2010,8,15,0,0
2010,8,15,1,0
2010,8,15,2,0
2010,8,15,3,0
2010,8,15,4,0
2010,8,15,5,0
2010,8,15,6,41.34
2010,8,15,7,211.75
2010,8,15,8,425.6
2010,8,15,9,564.23
2010,8,15,10,714.64
2010,8,15,11,724.04
2010,8,15,12,743.15
2010,8,15,13,687.45
2010,8,15,14,540.4
2010,8,15,15,376.35
2010,8,15,16,184.45
2010,8,15,17,61.68
2010,8,15,18,5.02
2010,8,15,19,0
2010,8,15,20,0
2010,8,15,21,0
2010,8,15,22,0
2010,8,15,23,0
2010,8,16,0,0
2010,8,16,1,0
2010,8,16,2,0
2010,8,16,3,0
2010,8,16,4,0
2010,8,16,5,0
2010,8,16,6,35.69
2010,8,16,7,175.89
2010,8,16,8,317.21
2010,8,16,9,515.04
2010,8,16,10,638.7
2010,8,16,11,657.86
2010,8,16,12,718.14
2010,8,16,13,586.81
2010,8,16,14,579.59
2010,8,16,15,433.7
2010,8,16,16,279.41
2010,8,16,17,101.62
2010,8,16,18,8.11
2010,8,16,19,0
2010,8,16,20,0
2010,8,16,21,0
2010,8,16,22,0
2010,8,16,23,0
2010,8,17,0,0
2010,8,17,1,0
2010,8,17,2,0
2010,8,17,3,0
2010,8,17,4,0
2010,8,17,5,0
2010,8,17,6,12.19
2010,8,17,7,124.21
2010,8,17,8,278.02
2010,8,17,9,500.82
2010,8,17,10,648.5
2010,8,17,11,763.09
2010,8,17,12,682.89
2010,8,17,13,521.12
2010,8,17,14,454.06
2010,8,17,15,185.66
2010,8,17,16,103.41
2010,8,17,17,31.66
2010,8,17,18,4.49
2010,8,17,19,0
2010,8,17,20,0
2010,8,17,21,0
2010,8,17,22,0
2010,8,17,23,0
2010,8,18,0,0
2010,8,18,1,0
2010,8,18,2,0
2010,8,18,3,0
2010,8,18,4,0
2010,8,18,5,0
2010,8,18,6,35.25
2010,8,18,7,182.7
2010,8,18,8,376.66
2010,8,18,9,526.2
2010,8,18,10,541.72
2010,8,18,11,579.38
2010,8,18,12,360.14
2010,8,18,13,284.56
2010,8,18,14,481.14
2010,8,18,15,450.22
2010,8,18,16,304.18
2010,8,18,17,104.81
2010,8,18,18,13.88
2010,8,18,19,0
2010,8,18,20,0
2010,8,18,21,0
2010,8,18,22,0
2010,8,18,23,0
2010,8,19,0,0
2010,8,19,1,0
2010,8,19,2,0
2010,8,19,3,0
