-BEGIN HEADER-,,,,,
NASA/POWER CERES/MERRA2 Native Resolution Hourly Data ,,,,,
Dates (month/day/year): 07/20/2018 through 07/20/2023 ,,,,,
Location: Latitude  16.44   Longitude 102.8283 ,,,,,
Elevation from MERRA-2: Average for 0.5 x 0.625 degree lat/lon region = 174.92 meters,,,,,
The value for missing source data that cannot be computed or is outside of the sources availability range: -999 ,,,,,
Parameter(s): ,,,,,
ALLSKY_SFC_SW_DWN     CERES SYN1deg All Sky Surface Shortwave Downward Irradiance (Wh/m^2) ,,,,,
T2M                   MERRA-2 Temperature at 2 Meters (C) ,,,,,
-END HEADER-,,,,,
YEAR,MO,DY,HR,ALLSKY_SFC_SW_DWN,T2M
2018,7,20,0,0,24.93
2018,7,20,1,0,24.76
2018,7,20,2,0,24.55
2018,7,20,3,0,24.33
2018,7,20,4,0,24.14
2018,7,20,5,0,23.99
2018,7,20,6,32.35,24.4
2018,7,20,7,96.95,25.32
2018,7,20,8,178.5,26.45
2018,7,20,9,314.45,27.53
2018,7,20,10,330.57,28.32
2018,7,20,11,380.84,28.55
2018,7,20,12,466.48,28.5
2018,7,20,13,440.97,28.47
2018,7,20,14,413.67,28.4
2018,7,20,15,399.8,28.16
2018,7,20,16,281.46,27.7
2018,7,20,17,111.47,27.03
2018,7,20,18,20.12,26.17
2018,7,20,19,0,25.8
2018,7,20,20,0,25.66
2018,7,20,21,0,25.58
2018,7,20,22,0,25.51
2018,7,20,23,0,25.4
2018,7,21,0,0,25.2
2018,7,21,1,0,25.01
2018,7,21,2,0,24.85
2018,7,21,3,0,24.69
2018,7,21,4,0,24.58
2018,7,21,5,0,24.5
2018,7,21,6,31.8,24.82
2018,7,21,7,152.51,25.49
2018,7,21,8,267.15,26.39
2018,7,21,9,344.08,27.22
2018,7,21,10,488.62,27.94
2018,7,21,11,610.35,28.7
2018,7,21,12,555.59,29.5
2018,7,21,13,571.05,29.85
2018,7,21,14,373.11,29.98
2018,7,21,15,236.68,29.81
2018,7,21,16,125.15,29.12
2018,7,21,17,67.84,28.12
2018,7,21,18,16.65,27.12
2018,7,21,19,0,26.65
2018,7,21,20,0,26.33
2018,7,21,21,0,26.09
2018,7,21,22,0,25.87
2018,7,21,23,0,25.65
2018,7,22,0,0,25.4
2018,7,22,1,0,25.22
2018,7,22,2,0,25.04
2018,7,22,3,0,24.87
2018,7,22,4,0,24.72
2018,7,22,5,0,24.57
2018,7,22,6,27.86,24.87
2018,7,22,7,86.42,25.65
2018,7,22,8,146.07,26.73
2018,7,22,9,297.32,27.89
2018,7,22,10,527.59,28.98
2018,7,22,11,591.63,29.83
2018,7,22,12,690.85,30.49
2018,7,22,13,628.84,30.8
2018,7,22,14,515.3,30.69
2018,7,22,15,381.08,30.34
2018,7,22,16,251.38,29.65
2018,7,22,17,116.21,28.58
2018,7,22,18,20.62,27.19
2018,7,22,19,0,26.62
2018,7,22,20,0,26.25
2018,7,22,21,0,25.91
2018,7,22,22,0,25.62
2018,7,22,23,0,25.37
2018,7,23,0,0,25.19
2018,7,23,1,0,25.07
2018,7,23,2,0,24.97
2018,7,23,3,0,24.87
2018,7,23,4,0,24.75
2018,7,23,5,0,24.62
2018,7,23,6,62.04,24.92
2018,7,23,7,210.09,25.71
2018,7,23,8,403.99,26.81
2018,7,23,9,549.7,27.94
2018,7,23,10,661.47,28.9
2018,7,23,11,637.16,29.6
2018,7,23,12,743.89,30.12
2018,7,23,13,642.6,30.48
2018,7,23,14,622.62,30.73
2018,7,23,15,519.07,30.74
2018,7,23,16,365.67,30.46
2018,7,23,17,185.66,29.35
2018,7,23,18,20.12,27.74
2018,7,23,19,0,27.04
2018,7,23,20,0,26.63
2018,7,23,21,0,26.27
2018,7,23,22,0,26.05
2018,7,23,23,0,25.92
2018,7,24,0,0,25.73
2018,7,24,1,0,25.51
2018,7,24,2,0,25.2
2018,7,24,3,0,24.89
2018,7,24,4,0,24.65
2018,7,24,5,0,24.5
2018,7,24,6,36.47,24.77
2018,7,24,7,153.23,25.34
2018,7,24,8,291.54,26.13
2018,7,24,9,460.88,26.96
2018,7,24,10,554.95,27.95
2018,7,24,11,462.88,29.1
2018,7,24,12,434.52,30.07
2018,7,24,13,433.62,30.53
2018,7,24,14,451.6,30.35
2018,7,24,15,342.09,29.9
2018,7,24,16,205.67,29.12
2018,7,24,17,76.32,27.97
2018,7,24,18,15.09,26.76
2018,7,24,19,0,26.15
2018,7,24,20,0,25.72
2018,7,24,21,0,25.37
2018,7,24,22,0,25.15
2018,7,24,23,0,25.02
2018,7,25,0,0,24.85
2018,7,25,1,0,24.62
2018,7,25,2,0,24.33
2018,7,25,3,0,23.94
2018,7,25,4,0,23.55
2018,7,25,5,0,23.23
2018,7,25,6,19.42,23.21
2018,7,25,7,126.92,23.58
2018,7,25,8,277.87,24.09
2018,7,25,9,366.2,24.77
2018,7,25,10,510.52,25.64
2018,7,25,11,580.52,26.62
2018,7,25,12,515.38,27.51
2018,7,25,13,458.62,27.98
2018,7,25,14,567,28
2018,7,25,15,350.12,27.65
2018,7,25,16,186.98,27.08
2018,7,25,17,64.48,26.25
2018,7,25,18,15.61,25.12
2018,7,25,19,0,24.59
2018,7,25,20,0,24.37
2018,7,25,21,0,24.13
2018,7,25,22,0,23.88
2018,7,25,23,0,23.68
2018,7,26,0,0,23.5
2018,7,26,1,0,23.35
2018,7,26,2,0,23.17
2018,7,26,3,0,23.05
2018,7,26,4,0,22.93
2018,7,26,5,0,22.83
2018,7,26,6,23.7,23.24
2018,7,26,7,101.9,24.01
2018,7,26,8,171.62,25.22
2018,7,26,9,200.84,26.8
2018,7,26,10,231.84,28.23
2018,7,26,11,233.17,28.87
2018,7,26,12,170.8,28.86
2018,7,26,13,193.29,28.49
2018,7,26,14,137.96,27.98
2018,7,26,15,115.22,27.4
2018,7,26,16,67.36,26.76
2018,7,26,17,57.78,26.05
2018,7,26,18,14.38,25.12
2018,7,26,19,0,24.69
2018,7,26,20,0,24.48
2018,7,26,21,0,24.31
2018,7,26,22,0,24.17
2018,7,26,23,0,24
2018,7,27,0,0,23.77
2018,7,27,1,0,23.51
2018,7,27,2,0,23.24
2018,7,27,3,0,22.97
2018,7,27,4,0,22.69
2018,7,27,5,0,22.4
2018,7,27,6,24.69,22.65
2018,7,27,7,86.12,23.23
2018,7,27,8,154.17,24.16
2018,7,27,9,244.32,25.33
2018,7,27,10,320.06,26.26
2018,7,27,11,333.89,26.89
2018,7,27,12,324.88,27.22
2018,7,27,13,358.59,27.33
2018,7,27,14,331.37,27.18
2018,7,27,15,260.95,26.88
2018,7,27,16,189.45,26.34
2018,7,27,17,66.8,25.53
2018,7,27,18,13.39,24.55
2018,7,27,19,0,24.13
2018,7,27,20,0,23.86
2018,7,27,21,0,23.62
2018,7,27,22,0,23.4
2018,7,27,23,0,23.15
2018,7,28,0,0,22.96
2018,7,28,1,0,22.79
2018,7,28,2,0,22.67
2018,7,28,3,0,22.59
2018,7,28,4,0,22.56
2018,7,28,5,0,22.55
2018,7,28,6,28.48,23.07
2018,7,28,7,112.5,24.09
2018,7,28,8,233.25,25.51
2018,7,28,9,353.7,26.76
2018,7,28,10,455.51,27.71
2018,7,28,11,432.75,28.51
2018,7,28,12,403.43,29.09
2018,7,28,13,397.93,29.23
2018,7,28,14,329.01,28.99
2018,7,28,15,311.69,28.51
2018,7,28,16,159.37,27.86
2018,7,28,17,56.12,27.01
2018,7,28,18,14.2,25.81
2018,7,28,19,0,25.31
2018,7,28,20,0,25.09
2018,7,28,21,0,24.96
2018,7,28,22,0,24.85
2018,7,28,23,0,24.67
2018,7,29,0,0,24.46
2018,7,29,1,0,24.26
2018,7,29,2,0,24.13
2018,7,29,3,0,23.96
2018,7,29,4,0,23.81
2018,7,29,5,0,23.74
2018,7,29,6,29.37,24.14
2018,7,29,7,133.41,24.82
2018,7,29,8,255.25,25.51
2018,7,29,9,331,25.89
2018,7,29,10,417.14,26.26
2018,7,29,11,480.95,26.69
2018,7,29,12,405.43,27.15
2018,7,29,13,394.77,27.58
2018,7,29,14,486.23,27.98
2018,7,29,15,310.52,28.26
2018,7,29,16,148.27,28.17
2018,7,29,17,49.17,27.45
2018,7,29,18,14.24,25.99
2018,7,29,19,0,25.44
2018,7,29,20,0,25.26
2018,7,29,21,0,25.1
2018,7,29,22,0,24.96
2018,7,29,23,0,24.87
2018,7,30,0,0,24.73
2018,7,30,1,0,24.52
2018,7,30,2,0,24.49
2018,7,30,3,0,24.4
2018,7,30,4,0,24.3
2018,7,30,5,0,24.08
2018,7,30,6,38.73,24.44
2018,7,30,7,155.57,25.25
2018,7,30,8,313.81,26.2
2018,7,30,9,394.07,26.9
2018,7,30,10,501.7,27.48
2018,7,30,11,400.53,27.76
2018,7,30,12,527.84,27.96
2018,7,30,13,679.93,28.05
2018,7,30,14,630.03,28.02
2018,7,30,15,472.01,27.81
2018,7,30,16,321.94,27.36
2018,7,30,17,137.7,26.69
2018,7,30,18,19.73,25.68
2018,7,30,19,0,25.25
2018,7,30,20,0,25.05
2018,7,30,21,0,24.9
2018,7,30,22,0,24.78
2018,7,30,23,0,24.62
2018,7,31,0,0,24.44
2018,7,31,1,0,24.27
2018,7,31,2,0,24.14
2018,7,31,3,0,24.05
2018,7,31,4,0,24.02
2018,7,31,5,0,24.04
2018,7,31,6,48.09,24.27
2018,7,31,7,181.34,24.71
2018,7,31,8,328.91,25.32
2018,7,31,9,367.55,26.12
2018,7,31,10,379.12,27.01
2018,7,31,11,409.05,27.82
