-BEGIN HEADER-
NASA/POWER CERES/MERRA2 Native Resolution Hourly Data 
Dates (month/day/year): 07/19/2019 through 07/19/2024 
Location: Latitude  16.4408   Longitude 102.8261 
Elevation from MERRA-2: Average for 0.5 x 0.625 degree lat/lon region = 174.92 meters
The value for missing source data that cannot be computed or is outside of the sources availability range: -999 
Parameter(s): 
ALLSKY_SFC_SW_DWN      CERES SYN1deg All Sky Surface Shortwave Downward Irradiance (Wh/m^2) 
ALLSKY_SFC_SW_DIFF     CERES SYN1deg All Sky Surface Shortwave Diffuse Irradiance (Wh/m^2) 
-END HEADER-
YEAR,MO,DY,HR,ALLSKY_SFC_SW_DWN,ALLSKY_SFC_SW_DIFF
2019,7,19,0,0.0,0.0
2019,7,19,1,0.0,0.0
2019,7,19,2,0.0,0.0
2019,7,19,3,0.0,0.0
2019,7,19,4,0.0,0.0
2019,7,19,5,0.0,0.0
2019,7,19,6,79.82,70.76
2019,7,19,7,272.0,178.46
2019,7,19,8,462.21,254.21
2019,7,19,9,703.59,162.98
2019,7,19,10,806.94,284.01
2019,7,19,11,787.45,410.33
2019,7,19,12,802.36,490.95
2019,7,19,13,723.36,474.77
2019,7,19,14,679.19,416.21
2019,7,19,15,490.42,295.12
2019,7,19,16,316.15,212.8
2019,7,19,17,165.23,120.49
2019,7,19,18,22.68,20.01
2019,7,19,19,0.0,0.0
2019,7,19,20,0.0,0.0
2019,7,19,21,0.0,0.0
2019,7,19,22,0.0,0.0
2019,7,19,23,0.0,0.0
2019,7,20,0,0.0,0.0
2019,7,20,1,0.0,0.0
2019,7,20,2,0.0,0.0
2019,7,20,3,0.0,0.0
2019,7,20,4,0.0,0.0
2019,7,20,5,0.0,0.0
2019,7,20,6,65.32,61.59
2019,7,20,7,237.61,180.27
2019,7,20,8,420.34,303.15
2019,7,20,9,603.77,376.83
2019,7,20,10,798.29,341.87
2019,7,20,11,819.41,479.19
2019,7,20,12,796.82,473.85
2019,7,20,13,783.8,372.19
2019,7,20,14,663.02,435.19
2019,7,20,15,493.48,347.55
2019,7,20,16,326.86,252.64
2019,7,20,17,136.59,116.9
2019,7,20,18,20.12,17.56
2019,7,20,19,0.0,0.0
2019,7,20,20,0.0,0.0
2019,7,20,21,0.0,0.0
2019,7,20,22,0.0,0.0
2019,7,20,23,0.0,0.0
2019,7,21,0,0.0,0.0
2019,7,21,1,0.0,0.0
2019,7,21,2,0.0,0.0
2019,7,21,3,0.0,0.0
2019,7,21,4,0.0,0.0
2019,7,21,5,0.0,0.0
2019,7,21,6,56.12,53.19
2019,7,21,7,201.24,169.48
2019,7,21,8,379.18,297.3
2019,7,21,9,579.48,359.4
2019,7,21,10,749.07,434.97
2019,7,21,11,818.64,428.84
2019,7,21,12,743.42,383.55
2019,7,21,13,698.95,442.63
2019,7,21,14,524.19,369.71
2019,7,21,15,385.96,285.07
2019,7,21,16,216.65,162.47
2019,7,21,17,90.87,69.89
2019,7,21,18,18.06,15.47
2019,7,21,19,0.0,0.0
2019,7,21,20,0.0,0.0
2019,7,21,21,0.0,0.0
2019,7,21,22,0.0,0.0
2019,7,21,23,0.0,0.0
2019,7,22,0,0.0,0.0
2019,7,22,1,0.0,0.0
2019,7,22,2,0.0,0.0
2019,7,22,3,0.0,0.0
2019,7,22,4,0.0,0.0
2019,7,22,5,0.0,0.0
2019,7,22,6,42.59,40.05
2019,7,22,7,149.55,117.39
2019,7,22,8,283.5,227.77
2019,7,22,9,384.14,292.86
2019,7,22,10,440.38,329.2
2019,7,22,11,403.26,288.34
2019,7,22,12,440.36,316.24
2019,7,22,13,502.48,365.35
2019,7,22,14,378.75,286.8
2019,7,22,15,216.43,164.18
2019,7,22,16,137.31,108.9
2019,7,22,17,51.54,41.44
2019,7,22,18,14.21,11.63
2019,7,22,19,0.0,0.0
2019,7,22,20,0.0,0.0
2019,7,22,21,0.0,0.0
2019,7,22,22,0.0,0.0
2019,7,22,23,0.0,0.0
2019,7,23,0,0.0,0.0
2019,7,23,1,0.0,0.0
2019,7,23,2,0.0,0.0
2019,7,23,3,0.0,0.0
2019,7,23,4,0.0,0.0
2019,7,23,5,0.0,0.0
2019,7,23,6,44.96,42.68
2019,7,23,7,147.02,123.75
2019,7,23,8,276.23,222.76
2019,7,23,9,512.8,380.95
2019,7,23,10,667.89,465.07
2019,7,23,11,724.82,492.67
2019,7,23,12,694.99,484.07
2019,7,23,13,580.59,425.59
2019,7,23,14,435.1,329.67
2019,7,23,15,373.45,287.44
2019,7,23,16,210.34,165.86
2019,7,23,17,65.26,45.66
2019,7,23,18,14.86,12.24
2019,7,23,19,0.0,0.0
2019,7,23,20,0.0,0.0
2019,7,23,21,0.0,0.0
2019,7,23,22,0.0,0.0
2019,7,23,23,0.0,0.0
2019,7,24,0,0.0,0.0
2019,7,24,1,0.0,0.0
2019,7,24,2,0.0,0.0
2019,7,24,3,0.0,0.0
2019,7,24,4,0.0,0.0
2019,7,24,5,0.0,0.0
2019,7,24,6,17.54,15.98
2019,7,24,7,81.28,65.41
2019,7,24,8,161.95,129.08
2019,7,24,9,255.77,196.37
2019,7,24,10,346.16,258.77
2019,7,24,11,321.35,226.79
2019,7,24,12,385.02,275.76
2019,7,24,13,445.28,326.52
2019,7,24,14,460.0,345.91
2019,7,24,15,369.77,285.48
2019,7,24,16,224.23,184.68
2019,7,24,17,77.38,63.33
2019,7,24,18,18.21,15.57
2019,7,24,19,0.0,0.0
2019,7,24,20,0.0,0.0
2019,7,24,21,0.0,0.0
2019,7,24,22,0.0,0.0
2019,7,24,23,0.0,0.0
2019,7,25,0,0.0,0.0
2019,7,25,1,0.0,0.0
2019,7,25,2,0.0,0.0
2019,7,25,3,0.0,0.0
2019,7,25,4,0.0,0.0
2019,7,25,5,0.0,0.0
2019,7,25,6,35.87,33.3
