YEAR,MO,DY,HR,ALLSKY_SFC_SW_DWN
2010,8,8,0,0
2010,8,8,1,0
2010,8,8,2,0
2010,8,8,3,0
2010,8,8,4,0
2010,8,8,5,0
2010,8,8,6,56.98
2010,8,8,7,223.06
2010,8,8,8,387.42
2010,8,8,9,526.55
2010,8,8,10,630.01
2010,8,8,11,709.27
2010,8,8,12,547.2
2010,8,8,13,390.41
2010,8,8,14,403.2
2010,8,8,15,302.9
2010,8,8,16,202.89
2010,8,8,17,76.29
2010,8,8,18,12.09
2010,8,8,19,0
2010,8,8,20,0
2010,8,8,21,0
2010,8,8,22,0
2010,8,8,23,0
2010,8,9,0,0
2010,8,9,1,0
2010,8,9,2,0
2010,8,9,3,0
2010,8,9,4,0
2010,8,9,5,0
2010,8,9,6,47
2010,8,9,7,197.49
2010,8,9,8,361.26
2010,8,9,9,487.07
2010,8,9,10,598.72
2010,8,9,11,577.21
2010,8,9,12,575.45
2010,8,9,13,492.64
2010,8,9,14,419.53
2010,8,9,15,250.7
2010,8,9,16,118.51
2010,8,9,17,38.94
2010,8,9,18,7.33
2010,8,9,19,0
2010,8,9,20,0
2010,8,9,21,0
2010,8,9,22,0
2010,8,9,23,0
2010,8,10,0,0
2010,8,10,1,0
2010,8,10,2,0
2010,8,10,3,0
2010,8,10,4,0
2010,8,10,5,0
2010,8,10,6,13.75
2010,8,10,7,111.25
2010,8,10,8,216.12
2010,8,10,9,371.77
2010,8,10,10,499.79
2010,8,10,11,555.66
2010,8,10,12,602.87
2010,8,10,13,565.7
2010,8,10,14,454.66
2010,8,10,15,340.16
2010,8,10,16,61.3
2010,8,10,17,40.26
2010,8,10,18,5.64
2010,8,10,19,0
2010,8,10,20,0
2010,8,10,21,0
2010,8,10,22,0
2010,8,10,23,0
2010,8,11,0,0
2010,8,11,1,0
2010,8,11,2,0
2010,8,11,3,0
2010,8,11,4,0
2010,8,11,5,0
2010,8,11,6,6.75
2010,8,11,7,58.7
2010,8,11,8,160.37
2010,8,11,9,334.18
2010,8,11,10,438.01
2010,8,11,11,570.88
2010,8,11,12,747.3
2010,8,11,13,735.39
2010,8,11,14,647.83
2010,8,11,15,499.62
2010,8,11,16,302.47
2010,8,11,17,137.38
2010,8,11,18,15.33
2010,8,11,19,0
2010,8,11,20,0
2010,8,11,21,0
2010,8,11,22,0
2010,8,11,23,0
2010,8,12,0,0
2010,8,12,1,0
2010,8,12,2,0
2010,8,12,3,0
2010,8,12,4,0
2010,8,12,5,0
2010,8,12,6,48.29
2010,8,12,7,198
2010,8,12,8,369.7
2010,8,12,9,528.52
2010,8,12,10,648.41
2010,8,12,11,653.26
2010,8,12,12,725.65
2010,8,12,13,670.32
2010,8,12,14,591.15
2010,8,12,15,438.75
2010,8,12,16,272.3
2010,8,12,17,100.95
2010,8,12,18,14.11
2010,8,12,19,0
2010,8,12,20,0
2010,8,12,21,0
2010,8,12,22,0
2010,8,12,23,0
2010,8,13,0,0
2010,8,13,1,0
2010,8,13,2,0
2010,8,13,3,0
2010,8,13,4,0
2010,8,13,5,0
2010,8,13,6,13.02
2010,8,13,7,139.38
2010,8,13,8,288.99
2010,8,13,9,396.28
2010,8,13,10,535.85
2010,8,13,11,506.78
2010,8,13,12,598.98
2010,8,13,13,573.68
2010,8,13,14,433.66
2010,8,13,15,190.3
2010,8,13,16,81.04
2010,8,13,17,26.93
2010,8,13,18,5.47
2010,8,13,19,0
2010,8,13,20,0
2010,8,13,21,0
2010,8,13,22,0
2010,8,13,23,0
2010,8,14,0,0
2010,8,14,1,0
2010,8,14,2,0
2010,8,14,3,0
2010,8,14,4,0
2010,8,14,5,0
2010,8,14,6,55.11
2010,8,14,7,233.9
2010,8,14,8,438.79
2010,8,14,9,614.12
2010,8,14,10,728.98
2010,8,14,11,785.98
2010,8,14,12,838.93
2010,8,14,13,697.12
2010,8,14,14,599.61
2010,8,14,15,467.95
2010,8,14,16,291.91
2010,8,14,17,118.11
2010,8,14,18,12.48
2010,8,14,19,0
2010,8,14,20,0
2010,8,14,21,0
2010,8,14,22,0
2010,8,14,23,0
2010,8,15,0,0
2010,8,15,1,0
2010,8,15,2,0
2010,8,15,3,0
2010,8,15,4,0
2010,8,15,5,0
2010,8,15,6,55.69
2010,8,15,7,230.15
2010,8,15,8,424.75
2010,8,15,9,628.51
2010,8,15,10,785.99
2010,8,15,11,847.2
2010,8,15,12,798.1
2010,8,15,13,745.74
2010,8,15,14,632.05
2010,8,15,15,452.96
2010,8,15,16,313.63
2010,8,15,17,118.82
2010,8,15,18,12.51
2010,8,15,19,0
2010,8,15,20,0
2010,8,15,21,0
2010,8,15,22,0
2010,8,15,23,0
2010,8,16,0,0
2010,8,16,1,0
2010,8,16,2,0
2010,8,16,3,0
2010,8,16,4,0
2010,8,16,5,0
2010,8,16,6,16.4
2010,8,16,7,116.67
2010,8,16,8,240.57
2010,8,16,9,437.2
2010,8,16,10,614.46
2010,8,16,11,640.66
2010,8,16,12,708.68
2010,8,16,13,696.43
2010,8,16,14,431.25
2010,8,16,15,286.11
2010,8,16,16,131.45
2010,8,16,17,37.3
2010,8,16,18,4.62
2010,8,16,19,0
2010,8,16,20,0
2010,8,16,21,0
2010,8,16,22,0
2010,8,16,23,0
2010,8,17,0,0
2010,8,17,1,0
2010,8,17,2,0
2010,8,17,3,0
2010,8,17,4,0
2010,8,17,5,0
2010,8,17,6,9.8
2010,8,17,7,112.17
2010,8,17,8,222.38
2010,8,17,9,337.69
2010,8,17,10,541.68
2010,8,17,11,628.62
2010,8,17,12,563.55
2010,8,17,13,546.87
2010,8,17,14,495.49
2010,8,17,15,397.9
2010,8,17,16,214.46
2010,8,17,17,82.94
2010,8,17,18,10.23
2010,8,17,19,0
2010,8,17,20,0
2010,8,17,21,0
2010,8,17,22,0
2010,8,17,23,0
2010,8,18,0,0
2010,8,18,1,0
2010,8,18,2,0
2010,8,18,3,0
2010,8,18,4,0
2010,8,18,5,0
2010,8,18,6,34.28
2010,8,18,7,183.19
2010,8,18,8,348.98
2010,8,18,9,540.09
2010,8,18,10,702.94
2010,8,18,11,656.07
2010,8,18,12,672.91
2010,8,18,13,717.02
2010,8,18,14,605.6
2010,8,18,15,513.34
2010,8,18,16,301.14
2010,8,18,17,112.21
2010,8,18,18,10.55
2010,8,18,19,0
2010,8,18,20,0
2010,8,18,21,0
2010,8,18,22,0
2010,8,18,23,0
2010,8,19,0,0
2010,8,19,1,0
2010,8,19,2,0
2010,8,19,3,0
